institute_name,hostel_available,official_website
"GOVERNMENT ENGINEERING COLLEGE, VALSAD",Yes,
"GPERI, Mevad",No,
"GROW MORE FACULTY OF ENGINEERING, BERNA, HIMMATNAGAR",Yes,
"GSFCU, Vadodara",No,
"GTU-SOEAT, Ahmedabad",No,
"GUJARAT POWER ENGG. AND RES. INST. (GPERI) (PPP), MEVAD, MEHSANA",No,
"GUJARAT TECHNOLOGICAL UNIVERSITY SCHOOL OF ENGINEERING AND TECHNOLOGY, CHANDKHEDA, AHMEDABAD",Yes,
GYANMANJARI INSTITUTE OF TECHNOLOGY BHAVNAGAR,Yes,
GYANMANJARI INSTITUTE OF TECHNOLOGY Bhavnagar,Yes,
"Gandhinagar Institute Of Technology, Moti Bhoyan, Kalol, Gandhinagar",Yes,
"Ganpat Uni. ICT, Mehsana",No,https://ganpatuniversity.ac.in
"Ganpat Uni. UVPCE, Mehsana",No,https://ganpatuniversity.ac.in
"Ganpat University, Institute of Computer Tech., Kherva, Mehsana",Yes,
"Ganpat University, U.V.Patel College of Engineering, Kherva, Mehsana",Yes,
"Government Engineering College, Bharuch",Yes,
"Government Engineering College, Bhavnagar",Yes,
"Government Engineering College, Bhuj",Yes,
"Government Engineering College, Dahod",Yes,
"Government Engineering College, Godhra",Yes,
"Government Engineering College, Modasa",Yes,
"Government Engineering College, Palanpur",Yes,
"Government Engineering College, Patan",Yes,
"Government Engineering College, Rajkot",Yes,
"Government Engineering College, Valsad",Yes,
"Graduate School of Engineering and Technology, GTU, Ahmedabad",Yes,
"Grow More Faculty of Engineering, Berna, Himmatnagar",Yes,
"GrowMore, Berna",No,
"Gujarat Power Engg. And Res. Inst. (GPERI) , Mevad, Mehsana",No,
"Gujarat Power Engg. And Res. Inst. (Gperi) (Ppp), Mevad, Mehsana",No,
"Gyanmanjari, Bhavnagar",No,
"HANSABA COLLEGE OF ENGIEERING AND TECHNOLOGY, SIDDHPUR",Yes,
"HASMUKH GOSWAMI COLLEGE OF ENGG, VAHELAL",Yes,
HGCE-Ahmedabad,No,
"HJD INSTITUTE OF TECHNICAL EDUCATION AND RESERCH, KERA",Yes,
"HJD, Kera",No,
"Hansaba College Of Engieering And Technology, Siddhpur",Yes,
"Hansaba, Patan",No,
"Hasmukh Goswami College Of Engg, Vahelal",Yes,
"IAR, Gandhinagar",No,https://iar.ac.in
"IIET, Dharmaj",No,
"INDUS INSTITUTE OF TECH. & ENGG., RACHARDA, AHMEDABAD",Yes,
"INSTITUTE OF ADVANCED RESEARCH, GANDHINAGAR",Yes,
"INSTITUTE OF INFRASTRUCTURE,TECHNOLOGY,RESEARCH AND MANAGEMENT(IITRAM),AHMEDABAD",Yes,
"INSTITUTE OF TECHNOLOGY, NIRMA UNIVERSITY OF SCIENCE & TECHNOLOGY, AHMEDABAD",Yes,
IPCOWALA INSTITUTE OF ENGINEERING AND TECHNOLOGY DHARMAJ,Yes,
"ITM (SLS) BARODA UNIVERSITY (FORMERLY KNOWN AS ITM UNIVERSE), VADODARA",Yes,
"ITM (SLS) Baroda University (Formerly Known as ITM Universe), Vadodara",Yes,
"ITM (SLS) Universe, Vadodara",No,
"ITM VOCATIONAL UNIVERSITY, WAGHODIA, DIST: VADODARA",Yes,
"ITM Voca, Vadodara",No,
"ITM Vocational University, Waghodia, Dist: Vadodara",Yes,
"ITM-SLS, Vadodara",No,
"Indrashil, Kadi",No,
"Indus Institute Of Tech. & Engg., Racharda, Ahmedabad",Yes,
"Indus Uni., Ahmedabad",No,https://indusuni.ac.in
"Institute Of Technology, Nirma University Of Science & Technology, Ahmedabad",Yes,https://nirmauni.ac.in
"Institute of Infrastructure,Technology,Research and Management(IITRAM),Ahmedabad",Yes,https://www.iitram.ac.in
Ipcowala Institute Of Engineering And Technology Dharmaj,Yes,
"Ipcowala, Dharmaj",No,
"JG UNIVERSITY - SCHOOL OF ENGINEERING, AHMEDABAD",Yes,
"JG University, Ahmedabad",Yes,
"JMSabva, Botad",No,
"JivrajMehta,Anand",No,
"K.J. INSTITUTE OF ENGG. AND TECH., SAVALI",Yes,
"K.J. Institute Of Engg. And Tech., Savali",Yes,
"KALOL INSTITUTE OF TECH. & RESEARCH CENTER ,KALOL",Yes,
"KANKESHWARI DEVI COLLEGE OF ENGINEERING, JAMNAGAR",Yes,
"KIT, Jamnagar",No,
"KITRC, Kalol",No,
"KJIET, Savali",No,
KRISHNA SCHOOL OF EMERGING TECHNOLOGY & APPLIED RESEARCH (FORMERLY KNOWN AS BABARIA INSTITUTE OF TECHNOLOGY),Yes,
"KRISHNA SCHOOL OF TECHNOLOGY, VARNAMA, VADODARA",Yes,
"Kalol Institute Of Tech. & Research Center ,Kalol",Yes,
"Kalol Institute Of Tech. & Research Center, Kalol",Yes,
"Kankeshwari Devi College of Engineering, Jamnagar",Yes,
"Krishna (BIT), Vadodara",No,
"Krishna School of Emerging Technology & Applied Research (Formerly Known as BIT) , Varnama, Vadodara",Yes,
"Krishna School of Emerging Technology & Applied Research (Formerly Known as Babaria Institute Of Technology) , Varnama, Vadodara",Yes,
"Krishna School of Technology, Varnama, Vadodara",Yes,
"Krishna, Varnama, Vadodara",No,
"Krishna-KSET, Vadodara",No,
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD",Yes,https://ldce.ac.in
"L.D.College Of Engineering, Ahmedabad",Yes,https://ldce.ac.in
"L.D.R.P. INSTITUTE OF TECH. & RESEARCH., GANDHINAGAR",Yes,
"L.D.R.P. Institute Of Tech. & Research., Gandhinagar",Yes,
"L.E.COLLEGE ,MORBI",Yes,
"L.E.College ,Morbi",Yes,
"L.E.College, Morbi",Yes,
"L.J. INSTITUTE OF ENGG AND TECH., AHMEDABAD",Yes,
"L.J. Institute Of Engg And Tech., Ahmedabad",Yes,
"LALJIBHAI CHATURBHAI INSTITUTE OF TECH., BHANDU, MAHESANA",Yes,
"LAXMI INSTITUTE OF TECHNOLOGY, SARIGAM, VALSAD",Yes,
"LCIT, Bhandu",No,
"LDCE, Ahmedabad",No,https://ldce.ac.in
"LDRP, GNAGAR",No,
"LEC, MORBI",No,
"LJIET, Ahmedabad",No,https://www.ljiet.ac.in
"LTIET, Rajkot",No,
"Laljibhai Chaturbhai Institute Of Tech., Bhandu, Mahesana",Yes,
"Laxmi Institute Of Technology, Sarigam, Valsad",Yes,
"Laxmi, Valsad",No,
"MADHUBEN & BHANUBHAI PATEL INSTITUTE OF TECHNOLOGY, NEW V.V.NAGAR",Yes,
"MAHATMA GANDHI INSTITUTE OF TECHNICAL EDUCATION & RESEARCH CENTRE, NAVSARI",Yes,
"MAHAVIR SWAMI COLLEGE OF ENGINEERING & TECHNOLOGY, BHARTHANA-VESU, SURAT",Yes,
"MARWADI EDUCATION FOUNDATION'S GROUP OF INSTITUTIONS - FACULTY OF ENGINEERING & TECHNOLOGY, RAJKOT",Yes,
"MBPIT, VVNagar",No,
"MEC, BESNA",No,
"MEFGI-FOE, Rajkot",No,
"MEFGI-FOT, Rajkot",No,
"MERCHANT ENGG. COLLEGE, BASNA. VISNAGAR",Yes,
"MGIT, Navsari",No,
"MSCET, Vesu",No,
"MSU (GIA), Vadodara",No,https://msubaroda.ac.in
"Madhuben & Bhanubhai Patel Institute of Technology, New V.V.Nagar",Yes,
"Mahavir Swami College Of Engineering & Technology, Bharthana-Vesu, Surat",Yes,
"Marwadi Edu. Foundation Group Of Institutions, Faculty Of Engg., Rajkot",No,
"Marwadi Edu. Foundation Group Of Institutions, Faculty Of Tech., Rajkot",No,
"Marwadi Education Foundation's Group of Institutions - Faculty of Engineering & Technology, Rajkot",Yes,
